dataset_source,dataset_version,concept_type,source_domain,external_skill_id,preferred_name,category,description,mapping_status
O*NET Database,31.0,technology,onet_software_skills,2.E.9.d|3D Static Strength Prediction Program 3DSSPP,3D Static Strength Prediction Program 3DSSPP,Analytical or scientific software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.6.a|3M Encoder,3M Encoder,Categorization or classification software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.4.d|3M Post-it App,3M Post-it App,Word processing software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.1.d|3PL Central,3PL Central,Materials requirements planning logistics and supply chain software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.9.d|A mathematical programming language AMPL,A mathematical programming language AMPL,Analytical or scientific software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.7.b|A programming language APL,A programming language APL,Development environment software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.2.b|Ab Initio,Ab Initio,Enterprise resource planning ERP software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.2.c|Abacus Tax,Abacus Tax,Tax preparation software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.7.b|ABC Compiler,ABC Compiler,Development environment software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.7.e|ABC: the AspectBench Compiler for AspectJ,ABC: the AspectBench Compiler for AspectJ,Object or component oriented development software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.4.b|Ability Photopaint,Ability Photopaint,Graphics or photo imaging software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.9.d|AcaStat Software,AcaStat Software,Analytical or scientific software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.9.d|Accelerated life testing software,Accelerated life testing software,Analytical or scientific software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.12.a|Access management software,Access management software,Access software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.11.a|AccessData FTK,AccessData FTK,Network monitoring software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.2.b|Accountants Templates JAZZ-It!,Accountants Templates JAZZ-It!,Enterprise resource planning ERP software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.9.e|Accounting compliance software,Accounting compliance software,Compliance software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.2.d|Accounting fraud detection software,Accounting fraud detection software,Financial analysis software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.2.a|Accounts payable software,Accounts payable software,Accounting software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.2.a|Accounts receivable software,Accounts receivable software,Accounting software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.9.e|ACCUCert,ACCUCert,Compliance software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.2.a|Accurate NXG,Accurate NXG,Accounting software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.4.b|ACD Systems Canvas,ACD Systems Canvas,Graphics or photo imaging software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.9.d|ACL Audit Exchange,ACL Audit Exchange,Analytical or scientific software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.2.d|ACL Business Assurance Analytics,ACL Business Assurance Analytics,Financial analysis software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.7.g|AcmeStudio,AcmeStudio,Requirements analysis and system architecture software,,pending
