career_name,onet_soc_code,onet_title,source_domain,concept_type,external_skill_id,technology_name,software_category_id,software_category_name,hot_technology,in_demand,score_eligible
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.13.c|Bash,Bash,2.E.13.c,Operating system software,Y,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.10.d|Berkeley Internet Domain Name BIND,Berkeley Internet Domain Name BIND,2.E.10.d,Internet directory services software,N,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.10.d|Berkeley Internet Domain Name BIND,Berkeley Internet Domain Name BIND,2.E.10.d,Internet directory services software,N,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.6.f|Blackboard software,Blackboard software,2.E.6.f,Data base user interface and query software,N,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.6.f|Blackboard software,Blackboard software,2.E.6.f,Data base user interface and query software,N,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.16.d|Blink,Blink,2.E.16.d,Instant messaging software,N,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.16.d|Blink,Blink,2.E.16.d,Instant messaging software,N,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.12.g|Border Gateway Protocol BGP,Border Gateway Protocol BGP,2.E.12.g,Switch or router software,Y,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.12.g|Border Gateway Protocol BGP,Border Gateway Protocol BGP,2.E.12.g,Switch or router software,Y,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.7.b|C,C,2.E.7.b,Development environment software,Y,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.7.b|C,C,2.E.7.b,Development environment software,Y,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.7.e|C#,C#,2.E.7.e,Object or component oriented development software,Y,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.7.e|C#,C#,2.E.7.e,Object or component oriented development software,Y,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.7.e|C++,C++,2.E.7.e,Object or component oriented development software,Y,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.7.e|C++,C++,2.E.7.e,Object or component oriented development software,Y,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.14.d|Check Point Next Generation Secure Web Gateway,Check Point Next Generation Secure Web Gateway,2.E.14.d,Transaction security and virus protection software,N,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.14.d|Check Point Next Generation Secure Web Gateway,Check Point Next Generation Secure Web Gateway,2.E.14.d,Transaction security and virus protection software,N,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.7.a|Chef,Chef,2.E.7.a,Configuration management software,Y,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.7.a|Chef,Chef,2.E.7.a,Configuration management software,Y,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.11.c|Cisco Systems CiscoWorks,Cisco Systems CiscoWorks,2.E.11.c,Administration software,N,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.11.c|Cisco Systems CiscoWorks,Cisco Systems CiscoWorks,2.E.11.c,Administration software,N,N,true
