source_key,dataset_source,dataset_version,concept_type,source_domain,external_skill_id,preferred_name,normalized_name,category,description,alt_labels
ESCO|esco_skills|http://data.europa.eu/esco/skill/267b9417-9d05-4731-a877-bfb978fb50eb,ESCO,1.2.1,skill,esco_skills,http://data.europa.eu/esco/skill/267b9417-9d05-4731-a877-bfb978fb50eb,plan engineering activities,plan engineering activities,cross-sector,Organise engineering activities before starting them.,"plan engineering activity
planning engineering activities
arrange engineering activities
schedule engineering activities
organise engineering activities"
ESCO|esco_skills|http://data.europa.eu/esco/skill/7d0f33ea-e724-4d77-8b75-ee4fe66bb9ba,ESCO,1.2.1,skill,esco_skills,http://data.europa.eu/esco/skill/7d0f33ea-e724-4d77-8b75-ee4fe66bb9ba,plan manufacturing processes,plan manufacturing processes,cross-sector,Determine and schedule production and assembly steps. Plan manpower and equipment needs taking ergonomic considerations into account.,"coordinate manufacturing processes
organise manufacturing processes
determine manufacturing processes
manage production processes
plan a manufacturing process
prepare production processes
arrange manufacturing processes"
ESCO|esco_skills|http://data.europa.eu/esco/skill/9c6e951f-aa88-4890-983d-e7a6ee49f5bb,ESCO,1.2.1,skill,esco_skills,http://data.europa.eu/esco/skill/9c6e951f-aa88-4890-983d-e7a6ee49f5bb,plan marketing campaigns,plan marketing campaigns,cross-sector,"Develop a method to promote a product through different channels, such as television, radio, print and online platforms, social media with the aim to communicate and deliver value to customers.","planning marketing campaigns
planning a marketing campaign
implement marketing campaign
set up marketing campaign
timetable marketing campaign
arrange marketing campaign
plan marketing campaign
plan a marketing campaign"
ESCO|esco_skills|http://data.europa.eu/esco/skill/08fd2839-670c-4f16-8024-97437f2035ab,ESCO,1.2.1,skill,esco_skills,http://data.europa.eu/esco/skill/08fd2839-670c-4f16-8024-97437f2035ab,plan marketing strategy,plan marketing strategy,cross-sector,"Determine the objective of the marketing strategy whether it is for establishing image, implementing a pricing strategy, or raising awareness of the product. Establish approaches of marketing actions to ensure that goals are achieved efficiently and over a long term.","organise marketing strategy
plan marketing strategies
design marketing strategy
plan a marketing strategy
project marketing strategy
planning a marketing strategy
arrange marketing strategy"
ESCO|esco_skills|http://data.europa.eu/esco/skill/0a52bed5-fd29-45fb-aba6-e32bccfda1c1,ESCO,1.2.1,skill,esco_skills,http://data.europa.eu/esco/skill/0a52bed5-fd29-45fb-aba6-e32bccfda1c1,plan migration to cloud,plan migration to cloud,sector-specific,"Select existing workloads and processes for potential migration to the cloud and choose migration tools. Determine a new cloud architecture for an existing solution, plan a strategy for migrating existing workloads to the cloud.","prepare plan for migration to cloud
cloud migration planning
plan refactoring"
ESCO|esco_skills|http://data.europa.eu/esco/skill/6acf652c-33b2-4e28-8f79-1e553f255229,ESCO,1.2.1,skill,esco_skills,http://data.europa.eu/esco/skill/6acf652c-33b2-4e28-8f79-1e553f255229,plan nursing care,plan nursing care,sector-specific,"Plan care, defining nursing objectives, deciding on nursing measures to be taken, paying attention to health education and preventative measures and ensuring continuity and fullness of care with the aim of improving the quality of nursing care.","plan exceptional nursing care
plan progressive nursing care
plan advanced nursing care
establish progressive nursing care
plan specialised nursing care
plan care support
design advanced nursing care
design nursing care plan
arrange nursing care
establish advanced nursing care
organise nursing care
plan nursing support
plan nursing care in specialised fields
plan higher nursing care
lead and coordinate specialised nursing care
plan nursing care in a specialised field
plan nursing support plan
plan nursing care in leading position"
ESCO|esco_skills|http://data.europa.eu/esco/skill/080b0153-36ae-43f6-b3c3-c1fe6fd8f1de,ESCO,1.2.1,skill,esco_skills,http://data.europa.eu/esco/skill/080b0153-36ae-43f6-b3c3-c1fe6fd8f1de,plan procedures for cargo operations,plan procedures for cargo operations,sector-specific,Plan a series of logistical procedures for cargo operations staff. Ensure the implementation of plans to the original specification.,"establish logistical processes for handling cargo
create procedures for cargo operations
plan cargo operations procedures
develop procedures for cargo operations
establish operational methods for handling cargo
implement logistical procedures for cargo operations
prepare procedures for cargo operations
design procedures for cargo operations
establish logistical procedures for cargo operations"
ESCO|esco_skills|http://data.europa.eu/esco/skill/c73ea1b8-e121-4f91-b8f0-dee4ee28d6ec,ESCO,1.2.1,skill,esco_skills,http://data.europa.eu/esco/skill/c73ea1b8-e121-4f91-b8f0-dee4ee28d6ec,plan schedule,plan schedule,cross-sector,"Develop the schedule including procedures, appointments and working hours.","write schedule
rig work scheduling
schedule rig work
rig work schedules planning
create rig work schedule
programme rig work
plan rig work schedules
prepare rig work plan
plan the schedule
set up a schedule
develop a schedule
plan a schedule
develop schedule"
ESCO|esco_skills|http://data.europa.eu/esco/skill/74cb80c4-df6b-4d79-a153-cb7b3b3b6eb0,ESCO,1.2.1,skill,esco_skills,http://data.europa.eu/esco/skill/74cb80c4-df6b-4d79-a153-cb7b3b3b6eb0,plan social media marketing campaigns,plan social media marketing campaigns,sector-specific,Plan and implement a marketing campaign on social media.,"organise digital campaigns
organise social media marketing campaigns"
ESCO|esco_skills|http://data.europa.eu/esco/skill/5a23ed81-6c48-4631-a2a5-740f8079f50b,ESCO,1.2.1,skill,esco_skills,http://data.europa.eu/esco/skill/5a23ed81-6c48-4631-a2a5-740f8079f50b,plan supply chain logistics for footwear and leather goods,plan supply chain logistics for footwear and leather goods,sector-specific,"Plan, organise and monitor logistics and supply chain activities based on the footwear or leather goods company's main objectives regarding quality, cost, delivery, and flexibility.","organize supply chain logistics and activities for footwear and leather goods
plan supply chain logistics for leather goods
organise supply chain logistics and activities for footwear and leatherwear
organise supply chain logistics and activities for footwear and leather goods
organize supply chain logistics and activities for footwear and leatherwear
plan supply chain logistics for footwear
plan supply chain logistics for footwear and leatherwear"
ESCO|esco_skills|http://data.europa.eu/esco/skill/3e9b580d-811b-48df-a5d1-a7bdd26f901f,ESCO,1.2.1,skill,esco_skills,http://data.europa.eu/esco/skill/3e9b580d-811b-48df-a5d1-a7bdd26f901f,prepare financial auditing reports,prepare financial auditing reports,cross-sector,"Compile information on audit findings of financial statements and financial management in order to prepare reports, point out improvement possibilities, and confirm governability.","write up auditing financial reports
make auditing financial reports ready
prepare auditing reports
formulate auditing financial reports
preparing financial auditing reports
prepare reports on financial audits
prepare auditing financial report"
