career_name,career_category,osca_code,osca_title,onet_soc_code,onet_title,onet_description,matched_label,matched_label_type,normalized_exact,similarity_score,suggested_mapping_method,review_status
Data Architect,Data and Artificial Intelligence,223232,Data Architect,15-1251.00,Computer Programmers,"Create, modify, and test the code and scripts that allow computer applications to run. Work from specifications drawn up by software and web developers or other individuals. May develop and write computer programs to store, locate, and retrieve specific documents, data, and information.",Java Architect,job_title,no,85.71,normalized_title,pending
Data Architect,Data and Artificial Intelligence,223232,Data Architect,15-1299.05,Information Security Engineers,"Develop and oversee the implementation of information security procedures and policies. Build, maintain and upgrade security technology, such as firewalls, for the safe use of computer networks and the transmission and retrieval of information. Design and implement appropriate security controls to identify vulnerabilities and protect digital files and electronic infrastructures. Monitor and respond to computer security breaches, viruses, and intrusions, and perform forensic investigation. May oversee the assessment of information security systems.",IT Architect,short_title,no,84.62,normalized_title,pending
Data Architect,Data and Artificial Intelligence,223232,Data Architect,15-1299.08,Computer Systems Engineers/Architects,"Design and develop solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions.",IT Architect,short_title,no,84.62,normalized_title,pending
Data Engineer,Data and Artificial Intelligence,223233,Data Engineer,15-1242.00,Database Administrators,"Administer, test, and implement computer databases, applying knowledge of database management systems. Coordinate changes to computer databases. Identify, investigate, and resolve database performance issues, database capacity, and database scalability. May plan, coordinate, and implement security measures to safeguard computer databases.",Data Engineer,job_title,yes,100.0,exact_title,pending
Data Engineer,Data and Artificial Intelligence,223233,Data Engineer,15-1243.00,Database Architects,"Design strategies for enterprise databases, data warehouse systems, and multidimensional networks. Set standards for database operations, programming, query processes, and security. Model, design, and construct large relational databases or data warehouses. Create and optimize data models for warehouse infrastructure and workflow. Integrate new systems with existing warehouse structure and refine system performance and functionality.",Data Engineer,job_title,yes,100.0,exact_title,pending
Data Engineer,Data and Artificial Intelligence,223233,Data Engineer,15-2041.00,Statisticians,"Develop or apply mathematical or statistical theory and methods to collect, organize, interpret, and summarize numerical data to provide usable information. May specialize in fields such as biostatistics, agricultural statistics, business statistics, or economic statistics. Includes mathematical and survey statisticians.",Data Engineer,job_title,yes,100.0,exact_title,pending
Data Engineer,Data and Artificial Intelligence,223233,Data Engineer,15-2051.00,Data Scientists,"Develop and implement a set of techniques or analytics applications to transform raw data into meaningful information using data-oriented programming languages and visualization software. Apply data mining, data modeling, natural language processing, and machine learning to extract and analyze information from large structured and unstructured datasets. Visualize, interpret, and report data findings. May create dynamic data reports.",Data Engineer,job_title,yes,100.0,exact_title,pending
Data Engineer,Data and Artificial Intelligence,223233,Data Engineer,17-2072.00,"Electronics Engineers, Except Computer","Research, design, develop, or test electronic components and systems for commercial, industrial, military, or scientific use employing knowledge of electronic theory and materials properties. Design electronic circuits and components for use in fields such as telecommunications, aerospace guidance and propulsion control, acoustics, or instruments and controls.",EDA Engineer,short_title,no,88.0,normalized_title,pending
Data Scientist,Data and Artificial Intelligence,223234,Data Scientist,15-2051.00,Data Scientists,"Develop and implement a set of techniques or analytics applications to transform raw data into meaningful information using data-oriented programming languages and visualization software. Apply data mining, data modeling, natural language processing, and machine learning to extract and analyze information from large structured and unstructured datasets. Visualize, interpret, and report data findings. May create dynamic data reports.",Data Scientists,occupation_title,no,96.55,normalized_title,pending
Data Scientist,Data and Artificial Intelligence,223234,Data Scientist,17-3029.01,Non-Destructive Testing Specialists,"Test the safety of structures, vehicles, or vessels using x-ray, ultrasound, fiber optic or related equipment.",NDT Scientist,short_title,no,88.89,normalized_title,pending
Data Scientist,Data and Artificial Intelligence,223234,Data Scientist,13-1041.07,Regulatory Affairs Specialists,"Coordinate and document internal regulatory processes, such as internal audits, inspections, license renewals, or registrations. May compile and prepare materials for submission to regulatory agencies.",RA Scientist,short_title,no,84.62,normalized_title,pending
Data Scientist,Data and Artificial Intelligence,223234,Data Scientist,19-1011.00,Animal Scientists,"Conduct research in the genetics, nutrition, reproduction, growth, and development of domestic farm animals.",Dairy Scientist,job_title,no,82.76,normalized_title,pending
Data Scientist,Data and Artificial Intelligence,223234,Data Scientist,19-1013.00,Soil and Plant Scientists,"Conduct research in breeding, physiology, production, yield, and management of crops and agricultural plants or trees, shrubs, and nursery stock, their growth in soils, and control of pests; or study the chemical, physical, biological, and mineralogical composition of soils as they relate to plant or crop growth. May classify and map soils and investigate effects of alternative practices on soil and crop productivity.",Plant Scientist,job_title,no,82.76,normalized_title,pending
Cyber Security Advice and Assessment Specialist,Cyber Security,271132,Cyber Security Advice and Assessment Specialist,13-1199.07,Security Management Specialists,"Conduct security assessments for organizations, and design security systems and processes. May specialize in areas such as physical security or the safety of employees and facilities.",Security Management Specialist,job_title,no,72.73,normalized_title,pending
Cyber Security Advice and Assessment Specialist,Cyber Security,271132,Cyber Security Advice and Assessment Specialist,41-4011.07,Solar Sales Representatives and Assessors,"Contact new or existing customers to determine their solar equipment needs, suggest systems or equipment, or estimate costs.",Solar Site Assessment Specialist,job_title,no,70.89,normalized_title,pending
Cyber Security Advice and Assessment Specialist,Cyber Security,271132,Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,"Plan, implement, upgrade, or monitor security measures for the protection of computer networks and information. Assess system vulnerabilities for security risks and propose and implement risk mitigation strategies. May ensure appropriate security controls are in place that will safeguard digital files and vital electronic infrastructure. May respond to computer security breaches and viruses.",Cyber Security Specialist,job_title,no,69.44,normalized_title,pending
Cyber Security Advice and Assessment Specialist,Cyber Security,271132,Cyber Security Advice and Assessment Specialist,15-1299.04,Penetration Testers,Evaluate network system security by conducting simulated internal and external cyberattacks using adversary tools and techniques. Attempt to breach and exploit critical systems and gain access to sensitive information to assess system security.,Cybersecurity Specialist,job_title,no,67.61,normalized_title,pending
Cyber Security Advice and Assessment Specialist,Cyber Security,271132,Cyber Security Advice and Assessment Specialist,25-9021.00,Farm and Home Management Educators,"Instruct and advise individuals and families engaged in agriculture, agricultural-related processes, or home management activities. Demonstrate procedures and apply research findings to advance agricultural and home management activities. May develop educational outreach programs. May instruct on either agricultural issues such as agricultural processes and techniques, pest management, and food safety, or on home management issues such as budgeting, nutrition, and child development.",Resource Management Specialist,job_title,no,67.53,normalized_title,pending
Cyber Security Analyst,Cyber Security,271133,Cyber Security Analyst,15-1212.00,Information Security Analysts,"Plan, implement, upgrade, or monitor security measures for the protection of computer networks and information. Assess system vulnerabilities for security risks and propose and implement risk mitigation strategies. May ensure appropriate security controls are in place that will safeguard digital files and vital electronic infrastructure. May respond to computer security breaches and viruses.",Cyber Security Analyst,job_title,yes,100.0,exact_title,pending
Cyber Security Analyst,Cyber Security,271133,Cyber Security Analyst,13-1199.07,Security Management Specialists,"Conduct security assessments for organizations, and design security systems and processes. May specialize in areas such as physical security or the safety of employees and facilities.",Cybersecurity Analyst,job_title,no,97.67,normalized_title,pending
Cyber Security Analyst,Cyber Security,271133,Cyber Security Analyst,15-1299.05,Information Security Engineers,"Develop and oversee the implementation of information security procedures and policies. Build, maintain and upgrade security technology, such as firewalls, for the safe use of computer networks and the transmission and retrieval of information. Design and implement appropriate security controls to identify vulnerabilities and protect digital files and electronic infrastructures. Monitor and respond to computer security breaches, viruses, and intrusions, and perform forensic investigation. May oversee the assessment of information security systems.",System Security Analyst,job_title,no,84.44,normalized_title,pending
Cyber Security Analyst,Cyber Security,271133,Cyber Security Analyst,15-1299.06,Digital Forensics Analysts,"Conduct investigations on computer-based crimes establishing documentary or physical evidence, such as digital media and logs associated with cyber intrusion incidents. Analyze digital evidence and investigate computer security incidents to derive information in support of system and network vulnerability mitigation. Preserve and present computer-related evidence in support of criminal, fraud, counterintelligence, or law enforcement investigations.",Security Analyst,job_title,no,84.21,normalized_title,pending
Cyber Security Analyst,Cyber Security,271133,Cyber Security Analyst,33-3021.06,Intelligence Analysts,"Gather, analyze, or evaluate information from a variety of sources, such as law enforcement databases, surveillance, intelligence networks or geographic information systems. Use intelligence data to anticipate and prevent organized crime activities, such as terrorism.",Security Analyst,job_title,no,84.21,normalized_title,pending
Cyber Security Architect,Cyber Security,271134,Cyber Security Architect,15-1299.05,Information Security Engineers,"Develop and oversee the implementation of information security procedures and policies. Build, maintain and upgrade security technology, such as firewalls, for the safe use of computer networks and the transmission and retrieval of information. Design and implement appropriate security controls to identify vulnerabilities and protect digital files and electronic infrastructures. Monitor and respond to computer security breaches, viruses, and intrusions, and perform forensic investigation. May oversee the assessment of information security systems.",Cybersecurity Architect,job_title,no,97.87,normalized_title,pending
Cyber Security Architect,Cyber Security,271134,Cyber Security Architect,15-1299.04,Penetration Testers,Evaluate network system security by conducting simulated internal and external cyberattacks using adversary tools and techniques. Attempt to breach and exploit critical systems and gain access to sensitive information to assess system security.,Security Architect,job_title,no,85.71,normalized_title,pending
Cyber Security Architect,Cyber Security,271134,Cyber Security Architect,15-1212.00,Information Security Analysts,"Plan, implement, upgrade, or monitor security measures for the protection of computer networks and information. Assess system vulnerabilities for security risks and propose and implement risk mitigation strategies. May ensure appropriate security controls are in place that will safeguard digital files and vital electronic infrastructure. May respond to computer security breaches and viruses.",IT Security Architect,short_title,no,84.44,normalized_title,pending
Cyber Security Architect,Cyber Security,271134,Cyber Security Architect,33-3021.06,Intelligence Analysts,"Gather, analyze, or evaluate information from a variety of sources, such as law enforcement databases, surveillance, intelligence networks or geographic information systems. Use intelligence data to anticipate and prevent organized crime activities, such as terrorism.",Cybersecurity Tech,short_title,no,80.95,normalized_title,pending
Cyber Security Architect,Cyber Security,271134,Cyber Security Architect,13-1199.07,Security Management Specialists,"Conduct security assessments for organizations, and design security systems and processes. May specialize in areas such as physical security or the safety of employees and facilities.",Cybersecurity Associate,job_title,no,80.85,normalized_title,pending
Cyber Security Engineer,Cyber Security,271135,Cyber Security Engineer,15-1299.04,Penetration Testers,Evaluate network system security by conducting simulated internal and external cyberattacks using adversary tools and techniques. Attempt to breach and exploit critical systems and gain access to sensitive information to assess system security.,Cyber Security Engineer,job_title,yes,100.0,exact_title,pending
Cyber Security Engineer,Cyber Security,271135,Cyber Security Engineer,15-1212.00,Information Security Analysts,"Plan, implement, upgrade, or monitor security measures for the protection of computer networks and information. Assess system vulnerabilities for security risks and propose and implement risk mitigation strategies. May ensure appropriate security controls are in place that will safeguard digital files and vital electronic infrastructure. May respond to computer security breaches and viruses.",Cybersecurity Engineer,job_title,no,97.78,normalized_title,pending
Cyber Security Engineer,Cyber Security,271135,Cyber Security Engineer,15-1299.05,Information Security Engineers,"Develop and oversee the implementation of information security procedures and policies. Build, maintain and upgrade security technology, such as firewalls, for the safe use of computer networks and the transmission and retrieval of information. Design and implement appropriate security controls to identify vulnerabilities and protect digital files and electronic infrastructures. Monitor and respond to computer security breaches, viruses, and intrusions, and perform forensic investigation. May oversee the assessment of information security systems.",Cybersecurity Engineer,job_title,no,97.78,normalized_title,pending
Cyber Security Engineer,Cyber Security,271135,Cyber Security Engineer,13-1199.07,Security Management Specialists,"Conduct security assessments for organizations, and design security systems and processes. May specialize in areas such as physical security or the safety of employees and facilities.",Security Engineer,job_title,no,85.0,normalized_title,pending
Cyber Security Engineer,Cyber Security,271135,Cyber Security Engineer,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors","Promote worksite or product safety by applying knowledge of industrial processes, mechanics, chemistry, psychology, and industrial health and safety laws. Includes industrial product safety engineers.",Security Engineer,job_title,no,85.0,normalized_title,pending
Accountant (General),Business and Finance,211131,Accountant (General),43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks","Compute, classify, and record numerical data to keep financial records complete. Perform any combination of routine calculating, posting, and verifying duties to obtain primary financial data for use in maintaining accounting records. May also check the accuracy of figures, calculations, and postings pertaining to business transactions recorded by other workers.",Accountant Helper,job_title,no,80.0,normalized_title,pending
Accountant (General),Business and Finance,211131,Accountant (General),11-2011.00,Advertising and Promotions Managers,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",Account Manager,job_title,no,72.73,normalized_title,pending
Accountant (General),Business and Finance,211131,Accountant (General),11-2022.00,Sales Managers,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",Account Manager,job_title,no,72.73,normalized_title,pending
Accountant (General),Business and Finance,211131,Accountant (General),11-2033.00,Fundraising Managers,"Plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations.",Account Manager,job_title,no,72.73,normalized_title,pending
Accountant (General),Business and Finance,211131,Accountant (General),13-2052.00,Personal Financial Advisors,"Advise clients on financial plans using knowledge of tax and investment strategies, securities, insurance, pension plans, and real estate. Duties include assessing clients' assets, liabilities, cash flow, insurance coverage, tax status, and financial objectives. May also buy and sell financial assets for clients.",Account Manager,job_title,no,72.73,normalized_title,pending
Management Accountant,Business and Finance,211134,Management Accountant,13-1111.00,Management Analysts,"Conduct organizational studies and evaluations, design systems and procedures, conduct work simplification and measurement studies, and prepare operations and procedures manuals to assist management in operating more efficiently and effectively. Includes program analysts and management consultants.",Management Consultant,job_title,no,85.71,normalized_title,pending
Management Accountant,Business and Finance,211134,Management Accountant,19-3032.00,Industrial-Organizational Psychologists,"Apply principles of psychology to human resources, administration, management, sales, and marketing problems. Activities may include policy planning; employee testing and selection, training, and development; and organizational development and analysis. May work with management to organize the work setting to improve worker productivity.",Management Consultant,job_title,no,85.71,normalized_title,pending
Management Accountant,Business and Finance,211134,Management Accountant,43-6011.00,Executive Secretaries and Executive Administrative Assistants,"Provide high-level administrative support by conducting research, preparing statistical reports, and handling information requests, as well as performing routine administrative functions such as preparing correspondence, receiving visitors, arranging conference calls, and scheduling meetings. May also train and supervise lower-level clerical staff.",Management Assistant,job_title,no,78.05,normalized_title,pending
Management Accountant,Business and Finance,211134,Management Accountant,13-2054.00,Financial Risk Specialists,"Analyze and measure exposure to credit and market risk threatening the assets, earning capacity, or economic state of an organization. May make recommendations to limit risk.",Risk Management Consultant,job_title,no,76.6,normalized_title,pending
Management Accountant,Business and Finance,211134,Management Accountant,19-1031.02,Range Managers,"Research or study range land management practices to provide sustained production of forage, livestock, and wildlife.",Range Management Consultant,job_title,no,75.0,normalized_title,pending
Taxation Accountant,Business and Finance,211135,Taxation Accountant,13-2011.00,Accountants and Auditors,"Examine, analyze, and interpret accounting records to prepare financial statements, give advice, or audit and evaluate statements prepared by others. Install or advise on systems of recording costs or other financial and budgetary data.",Tax Accountant,job_title,no,84.85,normalized_title,pending
Taxation Accountant,Business and Finance,211135,Taxation Accountant,13-2082.00,Tax Preparers,Prepare tax returns for individuals or small businesses.,Tax Accountant,job_title,no,84.85,normalized_title,pending
Taxation Accountant,Business and Finance,211135,Taxation Accountant,17-2011.00,Aerospace Engineers,"Perform engineering duties in designing, constructing, and testing aircraft, missiles, and spacecraft. May conduct basic and applied research to evaluate adaptability of materials and equipment to aircraft design and manufacture. May recommend improvements in testing equipment and techniques.",Aviation Consultant,job_title,no,73.68,normalized_title,pending
Taxation Accountant,Business and Finance,211135,Taxation Accountant,13-2022.00,Appraisers of Personal and Business Property,"Appraise and estimate the fair value of tangible personal or business property, such as jewelry, art, antiques, collectibles, and equipment. May also appraise land.",Valuation Consultant,job_title,no,71.79,normalized_title,pending
