career_name,osca_code,osca_title,candidate_rank,isco08_code,isco08_title,partial_correspondence,esco_code,esco_concept_uri,esco_title,matched_label,matched_label_type,exact_label_match,similarity_score,esco_description,decision,review_reason
Data Architect,223232,Data Architect,2,2120,"Mathematicians, actuaries and statisticians",yes,2120.5,http://data.europa.eu/esco/occupation/72628f3a-fd49-499a-9741-870b0a1fcef2,mathematician,mathematics research scientist,alternative_label,no,50.0,"Mathematicians study and deepen existing mathematical theories in order to expand the knowledge and find new paradigms within the field. They can apply this knowledge to challenges presented in engineering and scientific projects in order to assure that measurements, quantities, and mathematic laws prove their viability.",,
Data Architect,223232,Data Architect,3,2120,"Mathematicians, actuaries and statisticians",yes,2120.6,http://data.europa.eu/esco/occupation/ac8b3cd1-a127-4e6a-8208-5cfcf7111955,statistician,statistical research scientist,alternative_label,no,50.0,"Statisticians collect, tabulate, and, most importantly, analyse quantitative information coming from a varied array of fields. They interpret and analyse statistical studies on fields such as health, demographics, finance, business, etc. and advise based on patterns and drawn analysis.",,
Data Engineer,223233,Data Engineer,1,2120,"Mathematicians, actuaries and statisticians",yes,2120.4,http://data.europa.eu/esco/occupation/491cf76d-eb0d-4f15-90f0-3f5c9b11472a,gambling quality assurance engineer,gambling engineer,alternative_label,no,66.67,"Gambling quality assurance engineers design and plan methods to test the gambling, the lottery or betting games. They execute the tests. These games can be both for public or for private audience, and the tests are for both online and land-based gaming.",,
Data Engineer,223233,Data Engineer,2,2120,"Mathematicians, actuaries and statisticians",yes,2120.3,http://data.europa.eu/esco/occupation/18552245-3c36-4a52-b4c6-295cabb5c93b,gambling games developer,gambling designer,alternative_label,no,46.67,"Gambling games developers create, develop and produce content for lottery, betting and similar gambling games for large audiences.",,
Data Engineer,223233,Data Engineer,3,2120,"Mathematicians, actuaries and statisticians",yes,2120.5,http://data.europa.eu/esco/occupation/72628f3a-fd49-499a-9741-870b0a1fcef2,mathematician,mathematics researcher,alternative_label,no,45.71,"Mathematicians study and deepen existing mathematical theories in order to expand the knowledge and find new paradigms within the field. They can apply this knowledge to challenges presented in engineering and scientific projects in order to assure that measurements, quantities, and mathematic laws prove their viability.",,
Data Scientist,223234,Data Scientist,1,2120,"Mathematicians, actuaries and statisticians",yes,2120.5,http://data.europa.eu/esco/occupation/72628f3a-fd49-499a-9741-870b0a1fcef2,mathematician,mathematics scientist,alternative_label,no,74.29,"Mathematicians study and deepen existing mathematical theories in order to expand the knowledge and find new paradigms within the field. They can apply this knowledge to challenges presented in engineering and scientific projects in order to assure that measurements, quantities, and mathematic laws prove their viability.",,
Data Scientist,223234,Data Scientist,2,2120,"Mathematicians, actuaries and statisticians",yes,2120.6,http://data.europa.eu/esco/occupation/ac8b3cd1-a127-4e6a-8208-5cfcf7111955,statistician,statistical scientist,alternative_label,no,74.29,"Statisticians collect, tabulate, and, most importantly, analyse quantitative information coming from a varied array of fields. They interpret and analyse statistical studies on fields such as health, demographics, finance, business, etc. and advise based on patterns and drawn analysis.",,
Data Scientist,223234,Data Scientist,3,2120,"Mathematicians, actuaries and statisticians",yes,2120.2,http://data.europa.eu/esco/occupation/ff656b3a-65a8-4b4f-b04e-9db12936519b,demographer,demography scientist,alternative_label,no,70.59,"Demographers study a variety of parameters related with population. They develop, based on their observations, statistical analyses on the evolutions and changes of births, elderly, marriage and divorce, employment, mortality, immigration and related matters.",,
DevOps Engineer,273332,DevOps Engineer,1,2512,Software developers,yes,2512.7,http://data.europa.eu/esco/occupation/cc867bee-ab5c-427f-9244-f7a204d9574b,cloud DevOps engineer,devops engineer,alternative_label,yes,100.0,"Cloud DevOps engineers implement and manage continuous software delivery systems and methodologies. This includes managing and configuring code repositories, build services, automated testing, and deployment mechanisms. For cloud-based workloads, a Cloud DevOps Engineer define and deploy infrastructure as code, automating test and development environments. They can define and configure automated disaster recovery solutions that meet business objectives.",,
DevOps Engineer,273332,DevOps Engineer,2,2512,Software developers,yes,2512.4.1,http://data.europa.eu/esco/occupation/24135b84-cbdd-4d42-9ed2-02fd982d15b2,blockchain developer,DLT engineer,alternative_label,no,74.07,"Blockchain developers implement or program blockchain-based software systems based on specifications and designs by using programming languages, tools, and blockchain platforms.",,
