source_key,dataset_source,dataset_version,concept_type,source_domain,external_skill_id,preferred_name,category,description,reason
O*NET Database|onet_software_skills|2.E.7.b|Adobe ActionScript,O*NET Database,31.0,technology,onet_software_skills,2.E.7.b|Adobe ActionScript,Adobe ActionScript,Development environment software,,No approved automatic normalization match.
O*NET Database|onet_software_skills|2.E.4.c|Adobe After Effects,O*NET Database,31.0,technology,onet_software_skills,2.E.4.c|Adobe After Effects,Adobe After Effects,Video creation and editing software,,No approved automatic normalization match.
O*NET Database|onet_software_skills|2.E.7.b|Adobe AIR,O*NET Database,31.0,technology,onet_software_skills,2.E.7.b|Adobe AIR,Adobe AIR,Development environment software,,No approved automatic normalization match.
O*NET Database|onet_software_skills|2.E.9.d|Adobe Analytics,O*NET Database,31.0,technology,onet_software_skills,2.E.9.d|Adobe Analytics,Adobe Analytics,Analytical or scientific software,,No approved automatic normalization match.
O*NET Database|onet_software_skills|2.E.7.h|Adobe ColdFusion,O*NET Database,31.0,technology,onet_software_skills,2.E.7.h|Adobe ColdFusion,Adobe ColdFusion,Web platform development software,,No approved automatic normalization match.
O*NET Database|onet_software_skills|2.E.4.b|Adobe Creative Cloud software,O*NET Database,31.0,technology,onet_software_skills,2.E.4.b|Adobe Creative Cloud software,Adobe Creative Cloud software,Graphics or photo imaging software,,No approved automatic normalization match.
O*NET Database|onet_software_skills|2.E.4.c|Adobe Director,O*NET Database,31.0,technology,onet_software_skills,2.E.4.c|Adobe Director,Adobe Director,Video creation and editing software,,No approved automatic normalization match.
O*NET Database|onet_software_skills|2.E.4.k|Adobe Distiller,O*NET Database,31.0,technology,onet_software_skills,2.E.4.k|Adobe Distiller,Adobe Distiller,Desktop publishing software,,No approved automatic normalization match.
O*NET Database|onet_software_skills|2.E.4.g|Adobe Dreamweaver,O*NET Database,31.0,technology,onet_software_skills,2.E.4.g|Adobe Dreamweaver,Adobe Dreamweaver,Web page creation and editing software,,No approved automatic normalization match.
O*NET Database|onet_software_skills|2.E.7.h|Adobe Flex,O*NET Database,31.0,technology,onet_software_skills,2.E.7.h|Adobe Flex,Adobe Flex,Web platform development software,,No approved automatic normalization match.
O*NET Database|onet_software_skills|2.E.4.k|Adobe FrameMaker,O*NET Database,31.0,technology,onet_software_skills,2.E.4.k|Adobe FrameMaker,Adobe FrameMaker,Desktop publishing software,,No approved automatic normalization match.
O*NET Database|onet_software_skills|2.E.4.b|Adobe FreeHand MX,O*NET Database,31.0,technology,onet_software_skills,2.E.4.b|Adobe FreeHand MX,Adobe FreeHand MX,Graphics or photo imaging software,,No approved automatic normalization match.
O*NET Database|onet_software_skills|2.E.1.c|Adobe Human Capital Application Solution Accelerator,O*NET Database,31.0,technology,onet_software_skills,2.E.1.c|Adobe Human Capital Application Solution Accelerator,Adobe Human Capital Application Solution Accelerator,Human resources software,,No approved automatic normalization match.
O*NET Database|onet_software_skills|2.E.4.b|Adobe Illustrator,O*NET Database,31.0,technology,onet_software_skills,2.E.4.b|Adobe Illustrator,Adobe Illustrator,Graphics or photo imaging software,,No approved automatic normalization match.
O*NET Database|onet_software_skills|2.E.4.b|Adobe ImageReady,O*NET Database,31.0,technology,onet_software_skills,2.E.4.b|Adobe ImageReady,Adobe ImageReady,Graphics or photo imaging software,,No approved automatic normalization match.
O*NET Database|onet_software_skills|2.E.4.k|Adobe InDesign,O*NET Database,31.0,technology,onet_software_skills,2.E.4.k|Adobe InDesign,Adobe InDesign,Desktop publishing software,,No approved automatic normalization match.
O*NET Database|onet_software_skills|2.E.5.b|Adobe LifeCycle Enterprise Suite,O*NET Database,31.0,technology,onet_software_skills,2.E.5.b|Adobe LifeCycle Enterprise Suite,Adobe LifeCycle Enterprise Suite,Document management software,,No approved automatic normalization match.
O*NET Database|onet_software_skills|2.E.4.g|Adobe Macromedia HomeSite,O*NET Database,31.0,technology,onet_software_skills,2.E.4.g|Adobe Macromedia HomeSite,Adobe Macromedia HomeSite,Web page creation and editing software,,No approved automatic normalization match.
O*NET Database|onet_software_skills|2.E.4.k|Adobe PageMaker,O*NET Database,31.0,technology,onet_software_skills,2.E.4.k|Adobe PageMaker,Adobe PageMaker,Desktop publishing software,,No approved automatic normalization match.
